,Unnamed: 0,movie_id,name
196,26787,8834,Julia Roberts
197,27120,2118,Kim Basinger
198,27189,9437,Ashley Judd
199,27402,10155,Jennifer Lopez
200,27516,68924,Sigourney Weaver
201,27519,68924,Christina Ricci
202,27625,1813,Charlize Theron
203,27691,12628,Angelina Jolie
204,27987,4995,Julianne Moore
205,28154,10215,Gwyneth Paltrow
206,28322,9444,Kirsten Dunst
207,28358,8078,Sigourney Weaver
208,28359,8078,Winona Ryder
209,28514,2639,Jennifer Garner
210,28518,9574,Marcia Gay Harden
211,28640,9714,Scarlett Johansson
212,28803,597,Kate Winslet
213,28807,597,Kathy Bates
214,28947,714,Judi Dench
215,29037,547,Scarlett Johansson
216,29116,115,Julianne Moore
217,29176,9410,Gwyneth Paltrow
218,29275,586,Kirsten Dunst
219,29286,2666,Jennifer Connelly
220,29480,9457,Famke Janssen
221,29608,11003,Drew Barrymore
222,29627,10153,Queen Latifah
223,29671,2898,Maya Rudolph
224,30095,17127,Jennifer Aniston
225,30099,17127,Allison Janney
226,30272,9469,Milla Jovovich
227,30273,9469,Rosario Dawson
228,30888,9452,Halle Berry
229,30930,1878,Christina Ricci
230,30933,1878,Cameron Diaz
231,30955,9844,Christina Ricci
232,31042,1965,Gwyneth Paltrow
233,31084,6068,Allison Janney
234,31259,10674,Miriam Margolyes
235,31338,3050,Beth Grant
236,31345,1389,Jennifer Lopez
237,31354,1389,Catherine Keener
238,31357,1389,Viola Davis
239,31396,9464,Christina Ricci
240,31400,9464,Anjelica Huston
241,31491,944,Rene Russo
242,31515,11551,Kirsten Dunst
243,31535,11551,Christina Ricci
244,31555,544,Cameron Diaz
245,31560,544,Lin Shaye
246,32495,12102,Meryl Streep
247,32559,606,Meryl Streep
248,32614,380,Beth Grant
249,32702,13597,Jennifer Connelly
250,33198,11186,Beth Grant
251,33400,943,Rene Russo
252,33475,9342,Catherine Zeta-Jones
253,33910,859,Michelle Pfeiffer
254,33959,242,Diane Keaton
255,34700,11974,Carrie Fisher
256,35007,10249,Jennifer Connelly
257,35016,10249,Margo Martindale
258,35347,227,Diane Lane
259,35559,2907,Anjelica Huston
260,35561,2907,Christina Ricci
261,35577,9454,Drew Barrymore
262,35579,9454,Anjelica Huston
263,35605,8688,Carla Gugino
264,35651,23954,Susan Sarandon
265,35852,15144,Joan Cusack
266,35982,33644,Angela Bassett
267,35984,33644,Whoopi Goldberg
268,36146,77469,Catherine Keener
269,36260,4011,Winona Ryder
270,36530,3682,Salma Hayek
271,36619,117,Patricia Clarkson
272,37154,10220,Famke Janssen
273,37235,22796,Ashley Judd
274,37317,12626,Joan Cusack
275,37340,3525,Sigourney Weaver
276,37342,3525,Joan Cusack
277,37371,2321,Michelle Pfeiffer
278,37377,2321,Joan Cusack
279,38045,10403,Whoopi Goldberg
280,38084,10403,Anjelica Huston
281,38100,10403,Julia Roberts
282,38105,10403,Susan Sarandon
283,38123,162,Winona Ryder
284,38169,8916,Jennifer Lopez
285,38199,9429,Jennifer Coolidge
286,38201,9429,Eva Mendes
287,38205,9429,Molly Shannon
288,38277,10156,Cloris Leachman
289,38418,4437,Helen Mirren
290,38530,6435,Sandra Bullock
291,38531,6435,Nicole Kidman
292,38541,6435,Margo Martindale
293,38569,10683,Molly Shannon
294,38688,20701,Julianne Moore
295,38773,46889,Queen Latifah
296,38815,10663,Kathy Bates
297,38829,4518,Cate Blanchett
298,38886,297,Marcia Gay Harden
299,39106,14444,Whoopi Goldberg
300,39746,9447,Miriam Margolyes
301,39751,12257,Drew Barrymore
302,39772,10029,Cameron Diaz
303,39801,11252,Julianne Moore
304,39862,9837,Michelle Pfeiffer
305,39863,9837,Sandra Bullock
306,39866,9837,Helen Mirren
307,39895,1934,Gwyneth Paltrow
308,39898,1934,Judi Dench
309,40359,5825,Juliette Lewis
310,40443,9276,Salma Hayek
311,40444,9276,Famke Janssen
312,40585,10368,Judi Dench
313,40587,10368,Maggie Smith
314,40719,825,Angelina Jolie
315,40727,825,Patricia Clarkson
316,40733,825,Amanda Peet
317,41472,2112,Maria Bello
318,41486,16172,Patricia Clarkson
319,41491,16172,Amanda Peet
320,41564,10207,Robin Wright
321,41596,18892,Judy Greer
322,41622,1542,Jennifer Aniston
323,41660,15256,Kate Hudson
324,41666,15256,Christina Ricci
325,41674,8224,Catherine Keener
326,42331,9535,Molly Shannon
327,42361,796,Reese Witherspoon
328,42451,30943,Michelle Pfeiffer
329,42453,30943,Whoopi Goldberg
330,42621,1641,Sandra Bullock
331,42868,4951,Allison Janney
332,42973,9430,Melissa McCarthy
333,42980,11355,Drew Barrymore
334,42983,11355,Molly Shannon
335,42985,11355,Jessica Alba
336,42988,11355,Octavia Spencer
337,43024,9465,Julianne Moore
338,43140,1902,Penélope Cruz
339,43240,1844,Catherine Zeta-Jones
340,43262,6552,Jessica Alba
341,43368,3309,Bess Flowers
342,43451,8592,Kathy Bates
343,43467,564,Rachel Weisz
344,43673,1893,Natalie Portman
345,43687,1893,Keira Knightley
346,44337,36685,Susan Sarandon
347,44617,509,Julia Roberts
348,44942,24137,Cate Blanchett
349,44945,24137,Julianne Moore
350,45004,9032,Leslie Mann
351,45125,8487,Salma Hayek
352,45225,2105,Jennifer Coolidge
353,45322,345,Nicole Kidman
354,45373,620,Sigourney Weaver
355,45423,2978,Sigourney Weaver
356,45443,10490,Kirsten Dunst
357,45446,10490,Amy Adams
358,45448,10490,Allison Janney
359,45463,11618,Catherine Zeta-Jones
360,45547,4806,Julia Roberts
361,45549,4806,Joan Cusack
362,45872,873,Whoopi Goldberg
363,45956,10776,Miriam Margolyes
364,46125,16406,Kirsten Dunst
365,46158,10386,Jennifer Aniston
366,46163,10386,Cloris Leachman
367,46238,913,Rene Russo
368,46423,9781,Lin Shaye
369,46843,9944,Julia Roberts
370,46884,10342,Helen Mirren
371,47132,2900,Charlize Theron
372,47694,14,Allison Janney
373,47754,11001,Octavia Spencer
374,47795,9453,Helen Mirren
375,47923,11527,Helen Mirren
376,48054,10398,Ashley Judd
377,48219,6415,Judy Greer
378,48308,10349,Beth Grant
379,48611,11541,Sigourney Weaver
380,48780,18254,Diane Keaton
381,48808,18254,Miriam Margolyes
382,49445,8052,Gwyneth Paltrow
383,49568,550,Helena Bonham Carter
384,49645,12220,Michelle Pfeiffer
385,49847,11562,Anjelica Huston
386,50285,11377,Famke Janssen
387,50299,26149,Meryl Streep
388,50300,26149,Angela Bassett
389,50301,26149,Cloris Leachman
390,50316,492,Cameron Diaz
391,50317,492,Catherine Keener
392,50323,492,Winona Ryder
393,50331,492,Octavia Spencer
394,50406,2020,Renée Zellweger
395,50422,9481,Angelina Jolie
396,50423,9481,Queen Latifah
397,51182,47941,Carrie Fisher
398,51213,21349,Susan Sarandon
399,51214,21349,Natalie Portman
400,51233,1832,Salma Hayek
401,51251,10047,Milla Jovovich
402,51819,2668,Christina Ricci
403,51853,36643,Judi Dench
404,51862,99,Penélope Cruz
405,52271,11393,Kim Basinger
406,52512,9946,Miriam Margolyes
407,52520,863,Joan Cusack
408,52704,20024,Julianne Moore
409,52787,9586,Kirsten Dunst
410,52992,10402,Amy Poehler
411,53004,497,Patricia Clarkson
412,53033,1715,Charlize Theron
413,53092,25188,Cloris Leachman
414,53226,334,Julianne Moore
415,53246,334,Miriam Margolyes
416,53263,50116,Catherine Keener
417,53483,9563,Cameron Diaz
418,53573,926,Sigourney Weaver
419,53594,1213,Gwyneth Paltrow
420,53596,1213,Cate Blanchett
421,53602,1213,Celia Weston
422,53908,10384,Angela Bassett
423,54055,10493,Nicole Kidman
424,54182,35119,Meryl Streep
425,54562,75531,Amanda Peet
426,54626,1883,Angela Bassett
427,54694,2005,Whoopi Goldberg
428,54695,2005,Maggie Smith
429,54710,6279,Whoopi Goldberg
430,54720,6279,Maggie Smith
431,54733,11087,Julianne Moore
432,54953,9374,Meryl Streep
433,54974,11259,Nicole Kidman
434,55281,4234,Carrie Fisher
435,55305,29076,Sandra Bullock
436,55394,1907,Tilda Swinton
437,55611,10385,Diane Keaton
438,55617,10385,Cloris Leachman
439,55623,10385,Celia Weston
440,55654,2069,Amanda Peet
441,55910,2155,Charlize Theron
442,56046,25166,Melissa McCarthy
443,56509,287,Susan Sarandon
444,57020,918,Kim Basinger
445,57034,61178,Kim Basinger
446,57229,462,Julia Roberts
